:nemesis	:info	:start-partition	:majorities-ring
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n1"}, "n1" #{"n2"}, "n2" #{"n0"}}]
1	:ok	:generate	"36d5b87c-615c-7dba-af8a-8d4b8d04423d"
1	:invoke	:generate	nil
2	:ok	:generate	"b0dfbaa0-c2c6-082a-2a88-fd7ebb303b6d"
2	:invoke	:generate	nil
1	:ok	:generate	"3bb4b347-4770-98d9-4fb8-d7d86065fc0a"
0	:ok	:generate	"940dbc30-b863-b133-ef50-25c55b0cff4d"
2	:ok	:generate	"9082a861-9ddc-a75d-b82a-74490f56f6bb"
2	:invoke	:generate	nil
2	:ok	:generate	"4de34b2d-4397-9ba5-d894-dd634613159e"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"9a0b2ebc-9e05-623e-c050-8db7c1f3155f"
1	:ok	:generate	"4af361bd-ea54-f2b0-11f4-3f8e1690858a"
1	:invoke	:generate	nil
1	:ok	:generate	"066d04fc-9c20-efb4-4b10-e1e7040a506c"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"852c31a1-3380-c30d-bf6a-f99887affc50"
1	:invoke	:generate	nil
0	:ok	:generate	"797daa40-3cd3-30ba-a98a-4b3fe1a50001"
1	:ok	:generate	"16aad4c8-5a04-1339-37ce-2dfb37d973b7"
1	:invoke	:generate	nil
1	:ok	:generate	"41a9960e-2186-c491-4bdc-80a5686aee1f"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"3e099eaa-d8d1-58ca-8773-ba4bbd694907"
0	:ok	:generate	"c326a00d-2a45-f0c6-5c4f-e889f72a5c32"
1	:ok	:generate	"88ef6ce5-4a59-be96-1427-f0d0d534e9fb"
1	:invoke	:generate	nil
1	:ok	:generate	"3ca7f9d7-b4e9-ccff-e4c7-17ca745f1afa"
2	:invoke	:generate	nil
2	:ok	:generate	"1e84cb31-f39a-5bcc-4b32-e7220bd36cd2"
0	:invoke	:generate	nil
0	:ok	:generate	"d0b9147d-5e4d-3e20-e245-db0687d2c2f7"
0	:invoke	:generate	nil
0	:ok	:generate	"06178b9f-192a-1afb-d161-ea3eac1a3c35"
1	:invoke	:generate	nil
1	:ok	:generate	"b7293fb8-347e-396e-4a35-3b56b6ce9a04"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"2167852a-83de-4754-fae8-4ceb6dceed0d"
0	:ok	:generate	"d27a89b3-350b-c865-92e8-8b5660ec6737"
1	:ok	:generate	"1cb6df36-548d-a486-0c43-63eaa0c9facc"
1	:invoke	:generate	nil
1	:ok	:generate	"f45324b2-892e-7019-42fc-e01de58e1664"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"09cce738-b3dc-2f89-01fc-2a3747642592"
1	:invoke	:generate	nil
0	:ok	:generate	"d7dbb136-33e1-0c42-8813-603d701757e9"
2	:invoke	:generate	nil
1	:ok	:generate	"8cd2262c-9f8e-f822-bb0d-b2d50f0814a3"
2	:ok	:generate	"0a52c581-c1eb-3e9d-aa7a-e8968656494a"
2	:invoke	:generate	nil
2	:ok	:generate	"7cc24a85-3d32-6f9e-d505-e114bc93d585"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"fda090dc-817d-bc2f-9349-b8696f40b63b"
1	:ok	:generate	"2735b420-d10d-b3fb-d499-ecb7501d3236"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"aeef3663-f7ad-aea2-7c2d-2fd20ed75c52"
2	:ok	:generate	"d20b2b7e-0ec9-46a6-e8f7-3cfb6747bc17"
0	:invoke	:generate	nil
0	:ok	:generate	"95dc1abc-442c-a9e1-35ad-1dc647247739"
0	:invoke	:generate	nil
0	:ok	:generate	"e92a5696-7c57-1826-374a-fd0be9a13e95"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"1a9bc568-59ad-abfa-836a-4f24d631a31d"
2	:ok	:generate	"4c77bf9c-27db-cfd2-db22-887c542c369d"
0	:ok	:generate	"0dd336b2-9062-e3d9-4db8-e6f01dc17b34"
0	:invoke	:generate	nil
0	:ok	:generate	"81549a1b-af16-e8cb-bee1-c15e16d59343"
1	:invoke	:generate	nil
1	:ok	:generate	"7d667a28-a863-4f96-0f0a-42e73666e880"
2	:invoke	:generate	nil
2	:ok	:generate	"e98d92fc-d363-6eb0-0e6b-74c12fc26ff1"
0	:invoke	:generate	nil
0	:ok	:generate	"7873568d-bdb5-b80f-26cc-d2b2804657c9"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"eaeb8d19-726d-f0b5-8a76-ef7e637d9abc"
2	:invoke	:generate	nil
1	:ok	:generate	"8602e2e4-cc43-c94e-325d-82fd0da56a72"
2	:ok	:generate	"9d275810-c9c7-2e28-857f-8045e28bb0e8"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"984d791f-4c35-919a-e517-e654e3b2e252"
2	:ok	:generate	"0f5fe34b-0c0e-c479-f76c-34a41d0b3539"
1	:ok	:generate	"31539459-ec82-8069-5cbc-b632f2f3371b"
2	:invoke	:generate	nil
2	:ok	:generate	"3543d10c-82be-eaf3-dae9-634702f86654"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"6090caa3-42a9-6f72-ce02-e8c383f03df9"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"dc858c2d-f5f6-caab-bec2-3caad52e0946"
1	:invoke	:generate	nil
2	:ok	:generate	"86d2977f-063a-d03b-3975-0413b8a8dcb1"
